PFBCOLO CB Equity;ECOPETL CB Equity;GRUPOSUR CB Equity;BCOLO CB Equity;ISA CB Equity;NUTRESA CB Equity;GEB CB Equity;GRUPOARG CB Equity;PFAVAL CB Equity;PFGRUPSU CB Equity;PFDAVVND CB Equity;CEMARGOS CB Equity;PFGRUPOA CB Equity;EXITO CB Equity;BOGOTA CB Equity;CELSIA CB Equity;CORFICOL CB Equity;PFCEMARG CB Equity;CLH CB Equity;AVAL CB Equity;PFAVH CB Equity;BVC CB Equity;CNEC CB Equity;CONCONC CB Equity;ETB CB Equity
 25.280 ; 1.395 ; 37.700 ; 23.300 ; 8.680 ; 25.080 ; 1.785 ; 18.060 ; 1.170 ; 37.300 ; 27.400 ; 11.540 ; 17.500 ; 14.280 ; 59.480 ; 3.862 ; 36.539 ; 10.720 ; 12.600 ; 1.165 ; 2.660 ; 8.950 ; 10.200 ; 1.125 ; 597 
 25.400 ; 1.395 ; 37.800 ; 23.600 ; 8.640 ; 25.100 ; 1.815 ; 18.100 ; 1.180 ; 37.060 ; 27.580 ; 11.680 ; 17.520 ; 14.460 ; 59.460 ; 3.862 ; 36.348 ; 10.900 ; 12.640 ; 1.165 ; 2.435 ; 9.000 ; 10.180 ; 1.095 ; 599 
 25.520 ; 1.415 ; 38.100 ; 23.980 ; 8.610 ; 25.100 ; 1.780 ; 17.900 ; 1.170 ; 37.100 ; 27.800 ; 11.500 ; 17.480 ; 14.800 ; 58.600 ; 3.857 ; 36.138 ; 10.860 ; 12.720 ; 1.175 ; 2.300 ; 9.050 ; 10.300 ; 1.100 ; 600 
 25.700 ; 1.420 ; 38.000 ; 23.920 ; 8.720 ; 25.060 ; 1.815 ; 18.200 ; 1.170 ; 36.940 ; 27.880 ; 11.640 ; 17.580 ; 15.060 ; 59.000 ; 3.887 ; 36.539 ; 10.900 ; 12.900 ; 1.180 ; 2.360 ; 9.200 ; 10.480 ; 1.110 ; 600 
 25.720 ; 1.425 ; 38.000 ; 24.000 ; 8.860 ; 24.940 ; 1.810 ; 18.680 ; 1.180 ; 37.500 ; 27.940 ; 11.900 ; 17.920 ; 14.800 ; 59.480 ; 3.892 ; 36.253 ; 11.100 ; 12.840 ; 1.175 ; 2.400 ; 9.250 ; 10.480 ; 1.110 ; 600 
 25.780 ; 1.410 ; 38.140 ; 24.040 ; 8.870 ; 25.100 ; 1.845 ; 18.780 ; 1.180 ; 37.680 ; 27.700 ; 11.960 ; 18.040 ; 14.700 ; 59.400 ; 3.892 ; 36.253 ; 11.100 ; 12.940 ; 1.190 ; 2.435 ; 9.350 ; 10.180 ; 1.115 ; 598 
 26.200 ; 1.410 ; 38.060 ; 24.400 ; 8.900 ; 25.220 ; 1.840 ; 18.660 ; 1.175 ; 37.500 ; 27.640 ; 11.960 ; 18.200 ; 14.780 ; 58.880 ; 3.892 ; 36.253 ; 11.180 ; 12.880 ; 1.170 ; 2.440 ; 9.300 ; 10.300 ; 1.115 ; 597 
 25.680 ; 1.400 ; 38.200 ; 24.000 ; 8.900 ; 24.900 ; 1.825 ; 18.640 ; 1.175 ; 38.000 ; 27.100 ; 11.980 ; 17.740 ; 14.480 ; 58.420 ; 3.798 ; 36.061 ; 11.000 ; 12.700 ; 1.155 ; 2.350 ; 9.050 ; 9.930 ; 1.110 ; 587 
 25.300 ; 1.370 ; 37.620 ; 23.480 ; 8.800 ; 24.980 ; 1.845 ; 18.380 ; 1.165 ; 37.000 ; 27.000 ; 11.720 ; 17.520 ; 14.240 ; 58.400 ; 3.798 ; 36.157 ; 10.900 ; 12.820 ; 1.155 ; 2.260 ; 9.000 ; 9.910 ; 1.075 ; 585 
 25.340 ; 1.385 ; 37.780 ; 23.440 ; 8.790 ; 25.000 ; 1.800 ; 18.240 ; 1.160 ; 36.820 ; 27.180 ; 11.720 ; 17.580 ; 14.360 ; 58.600 ; 3.798 ; 36.348 ; 10.880 ; 12.760 ; 1.160 ; 2.290 ; 9.000 ; 10.220 ; 1.100 ; 587 
